account_id,customer_id,account_type,open_date,status,balance_eur
A0000169,C000605,Savings,2014-01-29,Active,-1500.0
A0000170,C000048,Savings,2018-05-07,Active,2484.09
A0000171,C000453,Savings,2017-09-15,Active,13515.44
A0000172,C000711,Current,2021-10-15,Active,7311.59
A0000173,C000785,Savings,2021-04-12,Active,393.1
A0000174,C000287,Payroll,2018-04-04,Active,4113.15
A0000175,C000925,Current,2016-08-16,Active,5264.83
A0000176,C000652,Current,2016-05-10,Active,-1500.0
A0000177,C000438,Current,2016-02-11,Active,7704.58
A0000178,C000628,Savings,2016-09-25,Active,1863.79
A0000179,C000872,Current,2021-08-08,Active,2155.41
A0000180,C000227,Savings,2014-06-15,Active,2590.38
A0000181,C000151,Payroll,2014-04-06,Active,6849.25
A0000182,C000441,Current,2019-05-25,Active,-369.69
A0000183,C000084,Savings,2016-03-26,Inactive,-1500.0
A0000184,C000836,Current,2022-04-21,Active,3727.23
A0000185,C000971,Current,2021-07-08,Active,-1500.0
A0000186,C000606,Savings,2021-09-08,Active,1355.81
A0000187,C000980,Current,2018-07-27,Active,7010.12
A0000188,C000069,Payroll,2018-05-17,Inactive,4700.56
A0000189,C000633,Savings,2018-04-03,Active,6460.95
A0000190,C000443,Current,2015-12-17,Active,4857.34
A0000191,C000278,Current,2019-09-02,Inactive,11659.27
A0000192,C000312,Current,2022-08-18,Active,264.69
A0000193,C000546,Payroll,2016-07-25,Active,4012.9
A0000194,C000642,Savings,2014-07-27,Active,835.14
A0000195,C000165,Current,2019-08-24,Active,6135.84
A0000196,C000615,Savings,2017-12-28,Active,2266.02
A0000197,C000927,Savings,2021-12-20,Inactive,9031.61
A0000198,C000011,Savings,2022-07-24,Active,482.9
A0000199,C000879,Current,2023-07-02,Active,7847.08
A0000200,C000608,Current,2017-12-06,Active,4753.93
A0000201,C000343,Current,2023-01-05,Active,2376.65
A0000202,C000735,Current,2015-03-07,Active,4561.28
A0000203,C000618,Savings,2017-09-22,Active,3492.8
A0000204,C000769,Current,2016-08-28,Active,3852.63
A0000205,C000082,Current,2023-03-24,Active,1713.89
A0000206,C000059,Current,2019-12-31,Active,-166.04
A0000207,C000643,Current,2017-08-28,Active,1226.73
A0000208,C000304,Payroll,2015-07-09,Inactive,-1500.0
A0000209,C000239,Savings,2021-10-28,Active,5699.4
A0000210,C000422,Current,2020-07-18,Active,-1500.0
A0000211,C000726,Savings,2022-07-11,Active,1672.94
A0000212,C000180,Current,2018-05-19,Inactive,4962.57
A0000213,C000974,Payroll,2015-07-02,Active,5689.71
A0000214,C000421,Savings,2017-05-05,Active,-1500.0
A0000215,C000151,Savings,2020-03-13,Active,2150.98
A0000216,C000072,Payroll,2016-05-29,Active,4247.03
A0000217,C000858,Payroll,2014-09-16,Active,2697.66
A0000218,C000114,Payroll,2022-03-25,Inactive,7607.48
A0000219,C000419,Current,2019-04-21,Active,-622.87
A0000220,C000669,Current,2017-12-18,Active,-1500.0
A0000221,C000514,Savings,2019-07-11,Active,5579.24
A0000222,C000263,Savings,2021-05-19,Active,459.07
A0000223,C000108,Savings,2014-01-05,Active,-1500.0
A0000224,C000712,Savings,2018-05-27,Active,1897.65
A0000225,C000491,Current,2016-07-16,Active,7176.12
A0000226,C000049,Current,2014-12-02,Active,-1500.0
A0000227,C000182,Savings,2014-05-12,Active,11376.78
A0000228,C000563,Current,2018-05-27,Active,-683.95
A0000229,C000169,Savings,2019-06-09,Active,2830.64
A0000230,C000392,Savings,2019-01-28,Active,-1500.0
A0000231,C000125,Savings,2021-10-28,Active,2658.12
A0000232,C000797,Savings,2018-07-30,Active,1991.76
A0000233,C000631,Savings,2019-11-24,Active,-1500.0
A0000234,C000784,Savings,2022-02-27,Active,13238.14
A0000235,C000053,Current,2020-07-27,Active,617.72
A0000236,C000376,Savings,2023-02-07,Active,621.04
A0000237,C000268,Savings,2016-03-19,Active,6182.34
A0000238,C000623,Current,2021-11-11,Active,9394.17
A0000239,C000822,Savings,2020-12-18,Active,6780.46
A0000240,C000228,Payroll,2019-10-29,Active,-1500.0
A0000241,C000770,Current,2014-01-14,Active,3312.85
A0000242,C000581,Savings,2019-05-31,Active,-1500.0
A0000243,C000825,Payroll,2022-07-31,Active,5926.48
A0000244,C000082,Payroll,2020-06-10,Active,-1500.0
A0000245,C000991,Current,2014-01-19,Active,-552.17
A0000246,C000435,Savings,2016-11-16,Inactive,2487.83
A0000247,C000281,Payroll,2019-09-10,Active,4191.02
A0000248,C000183,Savings,2022-02-11,Active,1508.45
A0000249,C000985,Current,2018-06-12,Inactive,8272.52
A0000250,C000884,Current,2022-07-25,Active,5248.31
A0000251,C000132,Savings,2021-12-14,Active,4949.95
A0000252,C000445,Current,2016-09-02,Active,-1500.0
A0000253,C000734,Current,2015-12-13,Active,8957.6
A0000254,C000591,Current,2023-01-09,Active,-551.65
A0000255,C000190,Savings,2019-11-21,Active,9102.66
A0000256,C000361,Savings,2022-06-25,Active,10184.34
A0000257,C000369,Payroll,2023-03-20,Active,4448.09
A0000258,C000289,Savings,2018-03-30,Active,6421.65
A0000259,C000961,Payroll,2014-06-16,Active,-1500.0
A0000260,C000203,Payroll,2023-01-31,Active,1758.99
A0000261,C000707,Current,2019-11-01,Active,6688.23
A0000262,C000912,Savings,2015-03-16,Active,6013.14
A0000263,C000795,Current,2019-04-18,Active,-1500.0
A0000264,C000800,Payroll,2014-04-13,Active,1383.86
A0000265,C000159,Current,2016-11-23,Active,-1500.0
A0000266,C000134,Savings,2017-06-23,Active,4069.37
A0000267,C000783,Payroll,2018-07-17,Active,-1500.0
A0000268,C000747,Current,2019-08-26,Active,6795.82
A0000269,C000742,Payroll,2022-05-22,Active,6994.35
A0000270,C000419,Current,2017-07-06,Active,697.41
A0000271,C000524,Current,2021-05-07,Active,4480.85
A0000272,C000016,Savings,2023-06-01,Active,1675.02
A0000273,C000292,Current,2021-06-25,Active,3419.25
A0000274,C000529,Savings,2016-07-18,Active,-1500.0
A0000275,C000126,Payroll,2020-10-09,Active,4865.47
A0000276,C000131,Current,2016-10-23,Active,-1500.0
A0000277,C000046,Savings,2018-10-11,Active,-1500.0
A0000278,C000210,Payroll,2020-05-06,Inactive,2036.67
A0000279,C000993,Savings,2016-12-06,Active,1697.28
A0000280,C000697,Current,2014-01-15,Active,3534.75
A0000281,C000949,Payroll,2022-05-14,Active,31.87
A0000282,C000258,Current,2021-04-09,Active,9665.63
A0000283,C000599,Savings,2015-03-26,Active,3110.3
A0000284,C000892,Savings,2017-10-09,Active,3384.95
A0000285,C000353,Savings,2016-08-13,Active,3249.49
A0000286,C000658,Current,2023-10-09,Active,6311.06
A0000287,C000693,Current,2023-05-31,Active,4688.87
A0000288,C000833,Savings,2020-11-28,Active,4179.67
A0000289,C000970,Current,2018-05-28,Active,5296.74
A0000290,C000616,Savings,2014-07-10,Active,-1500.0
A0000291,C000583,Savings,2016-06-20,Active,-1500.0
A0000292,C000869,Savings,2014-12-05,Active,2210.98
A0000293,C000685,Current,2021-11-21,Active,1748.84
A0000294,C000362,Current,2014-11-18,Active,4703.28
A0000295,C000631,Payroll,2020-10-08,Inactive,2576.06
A0000296,C000550,Current,2023-07-10,Active,4711.09
A0000297,C000229,Current,2017-01-28,Active,-1500.0
A0000298,C000516,Current,2020-11-01,Active,2459.17
A0000299,C000624,Current,2022-10-14,Active,-1500.0
A0000300,C000904,Payroll,2018-04-10,Active,3970.06
A0000301,C000581,Current,2018-06-27,Active,-1500.0
A0000302,C000165,Current,2016-01-02,Active,3823.58
A0000303,C000988,Savings,2018-04-10,Active,-1500.0
A0000304,C000579,Current,2022-09-24,Active,1042.59
A0000305,C000288,Current,2020-08-18,Active,5900.73
A0000306,C000755,Payroll,2016-01-06,Active,3364.04
A0000307,C000385,Savings,2019-04-06,Active,-1500.0
A0000308,C000371,Current,2021-01-23,Active,-55.1
A0000309,C000840,Current,2014-10-10,Active,-1500.0
A0000310,C000868,Current,2021-08-18,Active,-1500.0
A0000311,C000524,Current,2016-01-05,Active,2947.12
A0000312,C000374,Savings,2016-12-11,Active,4629.13
A0000313,C000864,Savings,2018-02-28,Active,4174.3
A0000314,C000174,Savings,2019-01-17,Active,4789.98
A0000315,C000748,Payroll,2023-02-26,Active,2454.74
A0000316,C000585,Current,2016-03-24,Inactive,1461.12
A0000317,C000855,Payroll,2016-07-22,Active,-1500.0
A0000318,C000421,Savings,2017-10-15,Active,827.7
A0000319,C000833,Current,2022-07-27,Active,-1500.0
A0000320,C000016,Payroll,2023-08-24,Active,-711.63
A0000321,C000759,Current,2018-07-17,Active,2837.92
A0000322,C000070,Savings,2020-12-04,Active,2052.34
A0000323,C000643,Savings,2023-03-03,Active,14145.97
A0000324,C000196,Current,2022-06-18,Active,-1500.0
A0000325,C000964,Payroll,2020-10-22,Active,2024.62
A0000326,C000770,Current,2019-05-28,Inactive,-1500.0
A0000327,C000105,Payroll,2023-11-02,Inactive,1026.41
A0000328,C000893,Current,2016-05-22,Active,1181.05
A0000329,C000252,Current,2017-08-17,Active,5710.54
A0000330,C000546,Current,2021-02-15,Active,791.27
A0000331,C000086,Payroll,2014-03-18,Active,1772.99
A0000332,C000106,Current,2019-01-02,Active,864.79
A0000333,C000242,Payroll,2022-07-16,Active,-1500.0
A0000334,C000535,Current,2015-10-08,Active,22.01
A0000335,C000543,Savings,2022-01-10,Active,1048.64
A0000336,C000856,Current,2018-02-14,Active,2780.54
A0000337,C000166,Current,2022-08-07,Inactive,4624.0
A0000338,C000750,Payroll,2020-05-06,Inactive,1608.53
A0000339,C000006,Current,2015-07-28,Active,1541.73
A0000340,C000292,Savings,2021-05-07,Active,-1500.0
A0000341,C000176,Savings,2014-07-24,Active,4550.99
A0000342,C000124,Savings,2016-06-06,Active,-144.41
A0000343,C000585,Savings,2022-11-17,Active,5339.07
A0000344,C000901,Payroll,2022-10-03,Active,7502.47
A0000345,C000667,Savings,2014-06-19,Active,1785.92
A0000346,C000855,Savings,2017-10-17,Active,-1388.58
A0000347,C000592,Savings,2014-12-10,Inactive,2436.55
A0000348,C000054,Savings,2016-09-16,Active,3825.07
A0000349,C000346,Current,2023-09-02,Active,1301.02
A0000350,C000824,Savings,2015-12-14,Active,356.65
A0000351,C000045,Current,2020-05-30,Active,4641.42
A0000352,C000098,Savings,2022-01-14,Active,4390.8
A0000353,C000834,Payroll,2022-10-21,Active,1184.1
A0000354,C000064,Payroll,2017-07-16,Active,-1500.0
A0000355,C000960,Payroll,2020-12-18,Active,4234.24
A0000356,C000759,Savings,2018-10-31,Active,-415.84
A0000357,C000666,Savings,2015-01-27,Active,3314.5
A0000358,C000537,Current,2016-03-24,Active,3074.4
A0000359,C000090,Savings,2021-06-23,Active,-1500.0
A0000360,C000415,Current,2020-11-09,Active,2808.11
A0000361,C000808,Current,2019-03-17,Active,4455.22
A0000362,C000904,Payroll,2021-10-21,Active,4921.18
A0000363,C000447,Payroll,2020-11-28,Active,2945.99
A0000364,C000840,Savings,2017-05-23,Active,-1500.0
A0000365,C000777,Current,2016-12-08,Active,7352.91
A0000366,C000058,Savings,2023-06-12,Active,4061.89
A0000367,C000621,Current,2023-09-18,Active,-1500.0
A0000368,C000617,Payroll,2014-04-22,Active,-493.5
A0000369,C000543,Payroll,2021-11-26,Active,3378.65
A0000370,C000773,Current,2015-05-01,Active,5083.18
A0000371,C000890,Current,2022-08-10,Active,645.74
A0000372,C000551,Current,2019-11-20,Active,5637.0
A0000373,C000321,Current,2020-11-15,Active,-1500.0
A0000374,C000984,Current,2021-01-04,Active,-1461.34
A0000375,C000964,Current,2020-01-17,Active,-1500.0
A0000376,C000687,Current,2016-07-03,Active,-910.14
A0000377,C000641,Current,2022-01-25,Active,8230.69
A0000378,C000105,Current,2019-07-16,Active,10319.65
A0000379,C000402,Savings,2019-06-13,Active,3391.44
A0000380,C000199,Current,2017-03-08,Active,73.97
A0000381,C000515,Payroll,2014-02-06,Active,1657.77
A0000382,C000827,Current,2019-07-16,Active,4298.69
A0000383,C000225,Current,2017-06-13,Active,-1500.0
A0000384,C000997,Current,2020-08-03,Active,324.5
A0000385,C000130,Savings,2017-08-23,Active,7952.59
A0000386,C000099,Current,2023-09-21,Active,-1473.7
A0000387,C000975,Savings,2020-10-21,Active,-346.29
A0000388,C000101,Current,2018-07-22,Active,2550.14
A0000389,C000736,Payroll,2021-01-28,Active,3575.94
A0000390,C000764,Current,2020-06-23,Active,124.98
A0000391,C000331,Current,2020-03-14,Active,2792.46
A0000392,C000065,Payroll,2019-10-11,Active,4810.17
A0000393,C000309,Current,2023-04-25,Active,9953.52
A0000394,C000069,Current,2017-03-05,Active,2020.27
A0000395,C000673,Payroll,2018-04-28,Active,2343.07
A0000396,C000889,Current,2016-07-12,Active,8304.32
A0000397,C000998,Current,2019-09-10,Active,413.17
A0000398,C000801,Current,2023-11-15,Active,-1500.0
A0000399,C000775,Current,2020-01-30,Active,3450.95
A0000400,C000882,Payroll,2016-01-26,Inactive,6589.47
A0000401,C000770,Savings,2023-03-18,Inactive,3871.98
A0000402,C000651,Savings,2021-11-24,Active,2131.34
A0000403,C000997,Current,2018-05-26,Active,-1500.0
A0000404,C000323,Savings,2015-06-20,Active,2278.2
A0000405,C000413,Savings,2018-01-09,Active,7185.99
A0000406,C000907,Current,2022-01-14,Active,-1500.0
A0000407,C000312,Payroll,2019-10-08,Active,1569.96
A0000408,C000299,Savings,2015-11-09,Active,1027.56
A0000409,C000153,Savings,2015-08-02,Active,-151.28
A0000410,C000276,Current,2023-09-01,Active,3442.11
A0000411,C000594,Current,2018-06-21,Active,4184.56
A0000412,C000887,Savings,2020-11-08,Active,4144.74
A0000413,C000137,Savings,2017-08-09,Active,-1211.88
A0000414,C000681,Current,2014-11-25,Active,-1500.0
A0000415,C000767,Current,2018-02-12,Active,3497.08
A0000416,C000896,Payroll,2020-12-05,Active,577.51
A0000417,C000751,Current,2017-05-01,Active,9485.59
A0000418,C000156,Current,2020-01-13,Active,9661.14
A0000419,C000489,Savings,2018-05-19,Active,10064.62
A0000420,C000953,Current,2017-05-17,Active,-1072.42
A0000421,C000909,Current,2016-07-19,Active,4663.6
A0000422,C000613,Current,2016-08-09,Active,5809.62
A0000423,C000964,Payroll,2016-07-22,Active,5381.75
A0000424,C000669,Current,2021-03-08,Active,1153.29
A0000425,C000065,Savings,2017-05-16,Active,7360.83
A0000426,C000915,Payroll,2021-05-29,Active,2501.8
A0000427,C000169,Savings,2017-02-09,Active,2986.8
A0000428,C000381,Savings,2017-04-09,Active,-1500.0
A0000429,C000239,Savings,2023-03-28,Active,4950.11
A0000430,C000720,Current,2022-10-04,Active,1510.44
A0000431,C000030,Savings,2018-01-02,Active,4266.16
A0000432,C000641,Payroll,2016-09-08,Active,3393.43
A0000433,C000865,Savings,2021-02-25,Active,3187.56
A0000434,C000788,Current,2014-09-13,Active,2326.29
A0000435,C000307,Current,2018-07-25,Active,5489.08
A0000436,C000897,Payroll,2019-12-30,Active,1744.21
A0000437,C000363,Current,2020-10-02,Active,-1500.0
A0000438,C000681,Payroll,2015-01-26,Active,4662.03
A0000439,C000507,Current,2014-01-11,Active,-574.22
A0000440,C000068,Savings,2016-10-06,Active,-1500.0
A0000441,C000003,Payroll,2015-03-12,Active,-1384.52
A0000442,C000184,Savings,2019-01-26,Inactive,3576.66
A0000443,C000935,Current,2023-03-11,Active,2133.23
A0000444,C000954,Payroll,2016-11-11,Active,-1500.0
A0000445,C000411,Current,2018-07-15,Active,1042.11
A0000446,C000969,Current,2016-02-24,Inactive,6943.08
A0000447,C000050,Savings,2014-06-10,Active,785.08
A0000448,C000968,Current,2021-01-10,Active,1871.19
A0000449,C000231,Savings,2016-07-24,Active,6463.37
A0000450,C000037,Current,2019-06-20,Active,5522.86
A0000451,C000758,Current,2020-10-29,Active,6382.65
A0000452,C000383,Payroll,2022-05-24,Active,-1500.0
A0000453,C000293,Current,2015-11-09,Active,9087.39
A0000454,C000760,Savings,2019-10-23,Active,4918.32
A0000455,C000334,Savings,2023-02-07,Active,11853.61
A0000456,C000753,Payroll,2018-10-31,Active,-472.84
A0000457,C000196,Savings,2014-05-29,Inactive,-1500.0
A0000458,C000086,Payroll,2016-08-11,Active,2527.43
A0000459,C000325,Current,2021-12-10,Active,1453.59
A0000460,C000610,Current,2021-12-01,Active,4983.92
A0000461,C000225,Payroll,2017-02-21,Active,6584.73
A0000462,C000143,Payroll,2015-12-20,Active,2168.28
A0000463,C000750,Savings,2016-11-30,Active,1585.31
A0000464,C000494,Savings,2016-06-03,Active,4486.34
A0000465,C000432,Savings,2021-05-28,Active,1525.95
A0000466,C000240,Current,2022-05-30,Active,1208.07
A0000467,C000018,Payroll,2014-06-20,Active,6441.11
A0000468,C000054,Payroll,2021-05-29,Active,7287.16
A0000469,C000682,Savings,2021-07-09,Active,6619.07
A0000470,C000081,Current,2020-02-15,Active,1860.73
A0000471,C000247,Current,2022-09-16,Active,-1500.0
A0000472,C000911,Current,2014-05-23,Active,1936.82
A0000473,C000344,Savings,2020-12-29,Active,-380.32
A0000474,C000745,Savings,2015-04-10,Active,2007.04
A0000475,C000344,Current,2022-12-19,Active,-50.15
A0000476,C000932,Savings,2018-12-30,Active,2421.19
A0000477,C000822,Payroll,2014-11-28,Active,-1449.25
A0000478,C000470,Current,2021-06-17,Active,-1500.0
A0000479,C000685,Savings,2021-06-27,Active,7146.23
A0000480,C000414,Savings,2018-08-21,Active,-1184.7
A0000481,C000945,Current,2017-02-07,Active,2501.26
A0000482,C000359,Savings,2014-03-05,Active,6127.16
A0000483,C000837,Savings,2023-01-28,Active,5974.36
A0000484,C000617,Current,2015-11-04,Active,5520.42
A0000485,C000644,Current,2022-06-03,Active,3650.89
A0000486,C000352,Payroll,2019-11-19,Inactive,5251.21
A0000487,C000833,Current,2020-11-05,Active,7717.73
A0000488,C000747,Savings,2020-12-08,Inactive,4115.09
A0000489,C000816,Savings,2022-07-30,Inactive,-1500.0
A0000490,C000802,Payroll,2014-05-03,Active,491.57
A0000491,C000158,Savings,2023-11-27,Active,5146.21
A0000492,C000876,Payroll,2014-06-08,Active,117.04
A0000493,C000842,Savings,2023-12-26,Active,8656.4
A0000494,C000243,Current,2016-08-11,Active,2259.92
A0000495,C000982,Current,2022-06-15,Active,2823.95
A0000496,C000528,Current,2014-11-01,Active,6774.03
A0000497,C000322,Current,2018-08-10,Active,1805.17
