customer_id,gender,birth_year,city,segment,employment_status,customer_since,declared_income_eur
C000143,M,1999,Heraklion,SME,Student,2015-08-22,5353.0
C000144,M,1995,Heraklion,SME,Salaried,2019-01-20,32533.78
C000145,F,1970,Athens,Mass,Retired,2018-06-05,37960.09
C000146,F,1978,Athens,Premium,Self-employed,2015-11-15,27292.85
C000147,M,1980,Patras,Mass,Self-employed,2023-12-26,11179.36
C000148,M,1991,Heraklion,Private,Self-employed,2012-06-12,16219.13
C000149,F,1988,Athens,SME,Retired,2011-05-11,30858.83
C000150,M,1995,Larissa,Mass,Salaried,2010-05-29,24560.71
C000151,F,1972,Athens,Affluent,Salaried,2021-05-23,7851.96
C000152,M,1979,Larissa,Mass,Self-employed,2015-09-09,41027.13
C000153,F,1975,Athens,SME,Salaried,2016-02-13,25781.07
C000154,M,1998,Athens,SME,Salaried,2019-01-31,17257.27
C000155,M,1969,Thessaloniki,Affluent,Salaried,2016-02-03,36970.71
C000156,F,1983,Athens,SME,Salaried,2018-01-12,18314.22
C000157,M,1960,Athens,Mass,Salaried,2010-10-26,18230.48
C000158,F,1995,Athens,Mass,Salaried,2012-03-09,28296.92
C000159,F,1973,Athens,Mass,Retired,2023-01-15,51433.05
C000160,F,1971,Heraklion,Mass,Salaried,2016-04-22,48141.82
C000161,F,1982,Athens,Mass,Student,2012-05-05,9909.57
C000162,F,1978,Thessaloniki,Mass,Student,2015-03-03,10346.26
C000163,M,1995,Heraklion,Mass,Salaried,2014-09-07,33942.72
C000164,M,1980,Athens,Mass,Self-employed,2013-11-02,14358.06
C000165,M,1979,Athens,SME,Self-employed,2014-02-09,31905.77
C000166,F,1960,Larissa,Mass,Self-employed,2020-03-15,17884.49
C000167,M,1956,Heraklion,Premium,Salaried,2011-06-30,27826.96
C000168,M,1974,Thessaloniki,Mass,Salaried,2014-05-02,22125.0
C000169,M,2002,Heraklion,Mass,Salaried,2016-07-19,30046.68
C000170,M,1999,Athens,Mass,Self-employed,2017-07-23,25580.96
C000171,M,1985,Athens,Mass,Student,2022-04-27,3000.0
C000172,M,1985,Patras,Mass,Self-employed,2022-12-01,26242.47
C000173,F,1973,Athens,Mass,Self-employed,2014-02-28,31879.05
C000174,F,1963,Patras,Mass,Student,2017-07-18,10274.99
C000175,F,1955,Thessaloniki,Mass,Self-employed,2010-04-25,23316.44
C000176,M,1971,Patras,Affluent,Salaried,2018-08-19,48518.86
C000177,F,1970,Athens,Mass,Retired,2012-02-21,27744.05
C000178,M,1964,Athens,SME,Salaried,2011-01-10,29255.5
C000179,F,1967,Athens,Mass,Salaried,2019-05-26,37747.96
C000180,F,1956,Athens,Premium,Salaried,2012-06-29,28347.36
C000181,F,1984,Patras,SME,Retired,2016-09-05,16694.47
C000182,M,1999,Athens,Premium,Salaried,2011-05-31,8742.04
C000183,M,1988,Athens,SME,Salaried,2020-06-07,19922.58
C000184,F,1976,Athens,Mass,Salaried,2020-09-13,33509.93
C000185,M,1975,Athens,Mass,Salaried,2018-01-16,20987.86
C000186,M,1969,Heraklion,Mass,Salaried,2021-09-11,34080.99
C000187,M,1961,Athens,SME,Self-employed,2016-02-11,25912.11
C000188,M,1983,Volos,Affluent,Retired,2012-08-10,41814.05
C000189,M,1982,Athens,Mass,Salaried,2012-02-13,21504.32
C000190,M,1955,Thessaloniki,Premium,Salaried,2013-01-25,29625.72
C000191,F,1974,Athens,Mass,Salaried,2012-10-20,30105.76
C000192,F,1968,Athens,Affluent,Salaried,2014-07-10,45737.45
C000193,F,1963,Larissa,Affluent,Salaried,2012-12-31,11887.14
C000194,M,1988,Volos,Mass,Self-employed,2018-04-09,20079.78
C000195,F,1980,Larissa,Affluent,Self-employed,2012-01-29,34765.36
C000196,M,1985,Athens,SME,Salaried,2018-09-13,46596.3
C000197,M,1989,Athens,Mass,Salaried,2014-09-04,26925.53
C000198,M,2002,Thessaloniki,Mass,Salaried,2019-08-11,21527.02
C000199,M,1993,Athens,Mass,Salaried,2017-03-06,33456.11
C000200,F,1984,Patras,Affluent,Retired,2022-08-31,35061.37
C000201,M,1997,Thessaloniki,Mass,Unemployed,2016-02-26,9418.53
C000202,F,1977,Thessaloniki,Premium,Retired,2014-02-16,27965.56
C000203,M,2002,Heraklion,Premium,Retired,2018-03-30,39967.48
C000204,F,1991,Patras,Mass,Self-employed,2019-03-21,53851.89
C000205,M,1986,Athens,Mass,Retired,2016-02-23,33252.79
C000206,M,1998,Athens,Affluent,Salaried,2017-10-31,24798.5
C000207,F,1979,Thessaloniki,Affluent,Salaried,2016-08-03,23796.37
C000208,F,1989,Athens,Mass,Salaried,2014-04-12,30764.19
C000209,M,1968,Athens,Mass,Salaried,2014-05-22,23188.63
C000210,F,2001,Athens,Mass,Salaried,2022-09-11,26361.21
C000211,M,1984,Patras,Private,Salaried,2019-06-13,15610.39
C000212,F,1992,Heraklion,Mass,Self-employed,2011-05-03,41972.25
C000213,F,1977,Thessaloniki,SME,Unemployed,2023-06-18,6785.99
C000214,M,1996,Athens,Mass,Self-employed,2019-12-18,20302.78
C000215,F,1958,Athens,Premium,Salaried,2010-09-14,25361.54
C000216,M,1960,Thessaloniki,Mass,Unemployed,2020-03-08,25278.43
C000217,M,1979,Athens,Mass,Salaried,2018-04-01,20383.34
C000218,M,1990,Thessaloniki,Premium,Salaried,2022-10-22,18403.08
C000219,M,1993,Thessaloniki,Premium,Salaried,2016-11-05,19315.38
C000220,F,1976,Athens,Mass,Salaried,2017-04-03,48861.1
C000221,M,1986,Athens,Mass,Salaried,2014-05-28,7471.23
C000222,M,1981,Athens,Mass,Unemployed,2014-07-02,7189.25
C000223,F,2001,Larissa,Mass,Unemployed,2018-08-24,34497.2
C000224,M,1986,Thessaloniki,Mass,Self-employed,2021-07-31,31199.91
C000225,F,1975,Athens,Premium,Salaried,2022-06-18,15298.14
C000226,M,2001,Larissa,Mass,Unemployed,2020-10-13,10763.19
C000227,F,1960,Athens,Affluent,Self-employed,2018-07-13,25042.53
C000228,F,2002,Athens,Mass,Salaried,2016-12-31,34730.47
C000229,F,1962,Volos,Mass,Self-employed,2014-10-02,52711.6
C000230,M,1968,Athens,Affluent,Salaried,2020-09-28,28658.11
C000231,M,1994,Athens,Mass,Salaried,2014-06-14,19405.06
C000232,F,1990,Thessaloniki,Affluent,Salaried,2013-09-30,33879.84
C000233,M,2001,Athens,Mass,Salaried,2022-02-21,18155.59
C000234,F,1990,Thessaloniki,Premium,Salaried,2018-04-01,15772.11
C000235,M,1985,Athens,Affluent,Salaried,2014-12-16,11624.13
C000236,F,1971,Athens,SME,Salaried,2022-02-08,12615.05
C000237,F,1955,Athens,Mass,Student,2023-06-21,5846.92
C000238,M,1960,Athens,Mass,Salaried,2014-06-13,14843.66
C000239,M,1969,Athens,Mass,Salaried,2017-04-18,27765.77
C000240,F,1956,Athens,Mass,Salaried,2016-10-06,14709.54
C000241,M,1979,Larissa,Mass,Retired,2019-10-26,6500.67
C000242,F,1992,Athens,Mass,Self-employed,2023-04-22,15702.21
C000243,M,2001,Athens,Mass,Retired,2017-09-03,19966.66
C000244,F,1978,Athens,Mass,Salaried,2021-03-02,18877.22
C000245,F,1997,Athens,Mass,Salaried,2018-05-02,46083.04
C000246,M,2002,Athens,Mass,Salaried,2022-05-30,18813.16
C000247,F,1996,Thessaloniki,Mass,Salaried,2015-08-30,35241.79
C000248,M,1977,Athens,Affluent,Unemployed,2015-05-23,10867.36
C000249,F,1970,Larissa,Mass,Retired,2015-11-29,23914.3
C000250,M,2001,Volos,Mass,Salaried,2023-12-11,17139.49
C000251,M,1966,Athens,Mass,Student,2018-07-22,8312.28
C000252,M,1974,Athens,SME,Salaried,2012-02-19,17652.98
C000253,M,1958,Athens,Mass,Salaried,2010-07-28,26144.92
C000254,M,1993,Thessaloniki,Affluent,Salaried,2017-04-04,22043.55
C000255,F,1986,Athens,Premium,Salaried,2021-04-10,16370.83
C000256,M,1959,Larissa,Mass,Unemployed,2016-09-15,16615.44
C000257,F,1965,Patras,Premium,Salaried,2017-11-02,29122.69
C000258,M,1981,Heraklion,SME,Salaried,2021-03-03,20167.22
C000259,M,1980,Thessaloniki,Mass,Self-employed,2017-03-23,25876.93
C000260,F,1993,Volos,Mass,Salaried,2022-09-18,23500.91
C000261,F,1967,Athens,Affluent,Salaried,2018-12-04,16909.18
C000262,M,1999,Athens,Private,Self-employed,2020-03-25,25074.54
C000263,M,1976,Athens,Mass,Salaried,2020-12-07,18754.24
C000264,F,1994,Volos,Mass,Salaried,2018-10-09,16368.73
C000265,F,1966,Thessaloniki,Affluent,Salaried,2010-09-13,12313.33
C000266,F,1956,Heraklion,Mass,Salaried,2015-12-25,20939.34
C000267,M,1957,Athens,Affluent,Salaried,2011-12-24,30888.14
C000268,M,1972,Volos,Mass,Unemployed,2017-02-20,8182.35
C000269,F,2000,Athens,Affluent,Student,2012-01-02,24560.03
C000270,F,1957,Athens,SME,Salaried,2017-02-15,35312.35
C000271,M,1972,Volos,Affluent,Student,2014-10-24,14735.23
C000272,M,1960,Athens,Affluent,Self-employed,2010-04-15,33996.13
C000273,M,1999,Athens,Affluent,Self-employed,2011-10-01,53008.27
C000274,F,1987,Thessaloniki,SME,Self-employed,2017-01-14,17491.3
C000275,M,1991,Athens,SME,Self-employed,2011-02-07,8303.98
C000276,M,1989,Athens,Mass,Unemployed,2021-12-23,9082.63
C000277,M,1986,Athens,Mass,Salaried,2020-08-12,30774.81
C000278,F,1992,Athens,Mass,Salaried,2019-12-04,25942.48
C000279,M,1955,Larissa,SME,Salaried,2012-05-29,27328.86
C000280,M,1996,Thessaloniki,Affluent,Salaried,2021-02-18,42394.85
C000281,M,1990,Athens,Mass,Self-employed,2018-11-18,28580.05
C000282,M,1990,Athens,Mass,Salaried,2015-06-19,34048.57
C000283,F,1973,Athens,Mass,Salaried,2010-01-03,16405.69
C000284,M,1993,Thessaloniki,Affluent,Salaried,2017-05-27,15366.34
C000285,M,1973,Volos,Mass,Salaried,2021-02-19,47950.66
C000286,F,1957,Volos,Mass,Self-employed,2010-06-21,25396.8
C000287,M,1998,Athens,Premium,Self-employed,2010-09-26,18736.78
C000288,F,1966,Athens,SME,Salaried,2015-05-12,18751.22
C000289,F,1959,Athens,Mass,Salaried,2017-02-27,18534.11
C000290,M,1984,Thessaloniki,Mass,Salaried,2016-08-21,18074.14
C000291,F,1966,Athens,Private,Salaried,2015-12-18,14201.15
C000292,M,1996,Thessaloniki,Affluent,Self-employed,2013-07-28,12962.6
C000293,F,1976,Thessaloniki,Affluent,Self-employed,2010-11-02,22428.73
C000294,M,1955,Athens,Mass,Salaried,2010-06-09,18976.77
C000295,F,2000,Athens,Mass,Salaried,2011-05-20,38754.68
C000296,F,1979,Athens,Mass,Student,2019-08-29,9636.08
C000297,F,1967,Athens,Affluent,Unemployed,2020-12-30,12245.65
C000298,M,1987,Athens,Mass,Salaried,2016-02-02,17816.66
C000299,M,1980,Patras,Mass,Salaried,2011-01-31,23136.53
C000300,M,1956,Athens,Affluent,Salaried,2015-10-26,28328.41
C000301,M,1991,Athens,Premium,Retired,2023-10-16,32886.0
C000302,F,1974,Thessaloniki,Affluent,Salaried,2013-07-01,23401.73
C000303,M,1988,Patras,Mass,Salaried,2016-11-14,38301.03
C000304,F,1997,Athens,Mass,Student,2017-07-11,8548.69
C000305,F,1984,Heraklion,Mass,Self-employed,2014-08-13,33961.94
C000306,M,1987,Volos,Mass,Salaried,2016-02-17,19816.34
C000307,M,1967,Thessaloniki,Mass,Salaried,2016-08-07,11369.76
C000308,F,1966,Thessaloniki,Mass,Salaried,2016-08-19,27247.33
C000309,M,1974,Athens,Affluent,Self-employed,2020-01-16,33012.32
C000310,M,1995,Volos,Premium,Salaried,2018-02-16,30997.01
C000311,F,1980,Athens,Private,Retired,2010-09-30,29065.83
C000312,F,1971,Volos,Mass,Retired,2010-02-02,21027.65
C000313,M,1992,Thessaloniki,Mass,Salaried,2015-09-30,17346.86
C000314,M,1995,Athens,Mass,Self-employed,2022-09-13,30691.04
C000315,M,1998,Athens,Mass,Salaried,2010-07-08,29117.89
C000316,F,1969,Patras,Mass,Salaried,2010-12-30,19233.76
C000317,F,1989,Thessaloniki,Mass,Self-employed,2019-07-04,38791.57
C000318,F,1983,Athens,SME,Salaried,2016-04-23,16801.05
C000319,F,1976,Patras,Mass,Salaried,2013-03-24,19051.86
C000320,F,1974,Larissa,Premium,Salaried,2012-11-25,48402.11
C000321,M,1960,Athens,Mass,Salaried,2019-04-22,35059.59
C000322,M,1968,Athens,Mass,Salaried,2017-04-30,20944.6
C000323,F,1981,Athens,Mass,Self-employed,2018-12-06,27465.88
C000324,F,1997,Heraklion,Mass,Unemployed,2013-12-02,11690.19
C000325,F,1996,Athens,Mass,Self-employed,2017-05-13,7683.59
C000326,M,1964,Larissa,Private,Retired,2022-01-12,16635.28
C000327,M,1987,Athens,Mass,Salaried,2014-06-06,23828.66
C000328,M,1959,Thessaloniki,Mass,Retired,2015-07-19,20956.9
C000329,M,1987,Athens,Affluent,Salaried,2012-04-16,27005.16
C000330,F,1971,Athens,Mass,Salaried,2018-12-09,39119.74
C000331,F,1976,Heraklion,Affluent,Retired,2010-06-16,21267.92
C000332,M,1989,Athens,Mass,Salaried,2013-06-25,15611.84
C000333,M,1975,Thessaloniki,SME,Salaried,2019-12-23,27901.55
C000334,F,1993,Volos,Mass,Salaried,2010-04-10,21222.52
C000335,M,1980,Volos,Mass,Salaried,2023-11-03,22798.58
C000336,F,2002,Larissa,Affluent,Salaried,2015-08-28,21535.44
C000337,F,1985,Athens,SME,Salaried,2015-07-31,62415.68
C000338,M,1969,Thessaloniki,Mass,Retired,2017-07-04,9498.64
C000339,M,1992,Larissa,Affluent,Salaried,2018-12-11,20679.53
C000340,F,1974,Athens,Mass,Salaried,2016-06-06,24305.32
C000341,F,1980,Athens,Mass,Salaried,2022-05-16,17534.4
C000342,M,1961,Heraklion,Mass,Retired,2023-06-17,35522.69
C000343,F,1960,Athens,Affluent,Salaried,2012-10-20,34254.33
C000344,F,1982,Thessaloniki,Mass,Salaried,2019-11-21,23859.63
C000345,F,1963,Volos,Affluent,Salaried,2014-03-18,21727.13
C000346,M,2002,Thessaloniki,Mass,Self-employed,2023-12-06,23224.85
C000347,F,1996,Athens,SME,Unemployed,2013-07-18,10482.71
C000348,F,1988,Athens,SME,Self-employed,2014-02-16,23554.76
C000349,M,1990,Athens,Mass,Unemployed,2019-12-29,10122.67
C000350,M,1983,Athens,Mass,Salaried,2021-01-15,27065.87
C000351,F,1957,Heraklion,Mass,Salaried,2011-10-20,33401.27
C000352,M,1973,Heraklion,SME,Salaried,2017-10-09,14520.12
C000353,M,1978,Athens,Mass,Salaried,2014-11-02,15657.75
C000354,M,1998,Athens,Mass,Salaried,2018-07-24,11679.87
C000355,F,1965,Larissa,Mass,Salaried,2017-10-15,35027.44
C000356,F,1978,Athens,SME,Salaried,2023-10-17,27041.71
C000357,M,1971,Thessaloniki,Mass,Self-employed,2023-01-24,30097.95
C000358,F,1961,Athens,Mass,Salaried,2019-02-24,13354.53
C000359,M,1959,Patras,Private,Self-employed,2019-07-04,51517.57
C000360,F,1972,Athens,Mass,Self-employed,2022-07-29,18850.27
C000361,F,1958,Thessaloniki,SME,Salaried,2012-07-26,26124.96
C000362,F,1958,Athens,Mass,Salaried,2020-02-26,34851.15
C000363,M,1971,Thessaloniki,Mass,Self-employed,2020-10-20,16082.2
C000364,F,1964,Athens,Premium,Self-employed,2011-10-13,19351.86
C000365,M,1981,Athens,Affluent,Salaried,2022-05-01,26245.56
C000366,F,1955,Thessaloniki,Affluent,Salaried,2019-10-15,80832.85
C000367,M,1969,Athens,Mass,Self-employed,2014-11-09,27624.89
C000368,M,1976,Athens,Mass,Self-employed,2016-10-10,47794.78
C000369,M,2001,Athens,Mass,Salaried,2016-11-06,40391.83
C000370,F,1985,Athens,Mass,Salaried,2022-11-09,28411.92
C000371,M,1997,Athens,Mass,Retired,2023-07-24,16067.24
C000372,F,1971,Volos,Mass,Salaried,2021-04-15,37990.69
C000373,M,1976,Athens,Mass,Retired,2019-02-15,12975.18
C000374,M,1975,Heraklion,Mass,Salaried,2011-06-17,47684.78
C000375,F,1997,Volos,Mass,Salaried,2022-10-19,26476.22
C000376,M,2001,Athens,Mass,Salaried,2011-11-16,7997.67
C000377,F,2001,Thessaloniki,SME,Salaried,2012-05-02,21099.14
C000378,F,1991,Larissa,Affluent,Retired,2010-12-22,32037.36
C000379,M,1979,Thessaloniki,Mass,Salaried,2023-04-05,22036.38
C000380,M,1980,Athens,Affluent,Student,2016-11-25,11504.35
C000381,M,2002,Athens,SME,Salaried,2013-04-20,17034.4
C000382,F,1968,Athens,Mass,Retired,2011-02-17,14065.6
C000383,F,1971,Thessaloniki,Mass,Retired,2015-10-07,23623.4
C000384,M,1998,Volos,Mass,Salaried,2020-02-15,24667.89
C000385,M,1973,Volos,Mass,Salaried,2023-12-01,21029.44
C000386,M,1966,Athens,SME,Self-employed,2017-09-23,40760.24
C000387,M,1981,Patras,Private,Salaried,2018-06-30,17033.08
C000388,F,1970,Athens,Mass,Retired,2021-09-11,27764.95
C000389,F,1997,Larissa,Affluent,Salaried,2022-08-14,25047.95
C000390,M,1998,Athens,Mass,Salaried,2013-11-30,12659.7
C000391,F,1969,Volos,Affluent,Salaried,2023-11-17,13988.73
C000392,M,1980,Heraklion,Affluent,Self-employed,2017-04-06,24465.09
C000393,M,2002,Athens,Mass,Student,2023-01-06,19580.35
C000394,F,1990,Athens,Mass,Salaried,2011-08-24,31048.11
C000395,F,1965,Heraklion,Affluent,Unemployed,2011-05-13,5306.7
C000396,F,1983,Athens,Private,Retired,2022-05-18,6591.89
C000397,M,1984,Thessaloniki,Mass,Salaried,2019-05-30,33119.67
