transaction_id,customer_id,card_id,transaction_date,year_month,mcc_code,merchant_category,transaction_type,amount_eur,channel
T000000021,C000932,CC0000004,2024-10-07,202410,5411,Groceries,Debit,51.81,POS
T000000022,C000902,CC0000824,2025-04-14,202504,4722,Travel Agencies,Debit,394.14,POS
T000000023,C000281,CC0000899,2025-02-14,202502,4814,Telecom,Debit,93.63,ATM
T000000024,C000351,CC0001093,2025-10-30,202510,4511,Airlines,Debit,239.06,ATM
T000000025,C000957,CC0000024,2025-08-03,202508,5812,Restaurants,Debit,33.22,Ecommerce
T000000026,C000477,CC0000872,2025-02-06,202502,4722,Travel Agencies,Debit,63.23,ATM
T000000027,C000988,CC0000280,2025-07-24,202507,5999,Retail,Debit,78.59,Ecommerce
T000000028,C000903,CC0001099,2025-03-25,202503,5311,Department Stores,Debit,88.07,Ecommerce
T000000029,C000866,CC0000846,2025-12-27,202512,5541,Fuel,Debit,23.3,POS
T000000030,C000887,CC0000913,2025-01-16,202501,4722,Travel Agencies,Debit,453.81,POS
T000000031,C000938,CC0000785,2025-09-13,202509,7011,Hotels,Debit,401.35,Ecommerce
T000000032,C000525,CC0000117,2024-05-08,202405,5912,Pharmacy,Debit,128.56,ATM
T000000033,C000190,CC0000804,2024-05-02,202405,5311,Department Stores,Debit,142.95,ATM
T000000034,C000728,CC0000101,2024-08-15,202408,4814,Telecom,Debit,60.45,POS
T000000035,C000028,CC0000925,2025-08-24,202508,4111,Transport,Debit,147.06,POS
T000000036,C000119,CC0000086,2025-10-07,202510,4111,Transport,Debit,36.47,POS
T000000037,C000077,CC0000960,2024-10-19,202410,5812,Restaurants,Debit,93.74,POS
T000000038,C000728,CC0000101,2024-11-20,202411,4900,Utilities,Debit,23.99,POS
T000000039,C000529,CC0000176,2024-12-23,202412,6011,Cash Withdrawal,Debit,349.52,Ecommerce
T000000040,C000302,CC0000688,2024-05-29,202405,4722,Travel Agencies,Debit,187.66,POS
T000000041,C000600,CC0000988,2025-01-27,202501,5311,Department Stores,Debit,7.56,POS
T000000042,C000342,CC0000871,2025-08-27,202508,4511,Airlines,Debit,210.2,Ecommerce
T000000043,C000028,CC0000925,2025-07-02,202507,5541,Fuel,Debit,14.24,POS
T000000044,C000959,CC0000222,2024-03-04,202403,6011,Cash Withdrawal,Debit,685.97,Ecommerce
T000000045,C000294,CC0000130,2024-09-15,202409,5541,Fuel,Debit,57.24,POS
T000000046,C000390,CC0001078,2025-04-11,202504,5311,Department Stores,Debit,102.39,POS
T000000047,C000138,CC0000156,2025-03-08,202503,5311,Department Stores,Debit,11.47,Ecommerce
T000000048,C000702,CC0000032,2025-05-26,202505,4900,Utilities,Debit,72.14,ATM
T000000049,C000724,CC0000732,2025-06-29,202506,7011,Hotels,Debit,194.95,Ecommerce
T000000050,C000330,CC0000393,2024-08-09,202408,4511,Airlines,Debit,212.14,Ecommerce
T000000051,C000413,CC0001055,2024-12-08,202412,5541,Fuel,Debit,51.57,Ecommerce
T000000052,C000011,CC0000057,2024-05-01,202405,5691,Clothing,Debit,83.45,POS
T000000053,C000372,CC0001051,2025-06-07,202506,5691,Clothing,Debit,29.51,POS
T000000054,C000798,CC0000893,2024-11-23,202411,4722,Travel Agencies,Debit,140.66,POS
T000000055,C000097,CC0000126,2024-09-11,202409,5912,Pharmacy,Debit,24.9,Ecommerce
T000000056,C000497,CC0000439,2025-07-05,202507,5411,Groceries,Debit,39.08,POS
T000000057,C000891,CC0000657,2025-11-15,202511,6011,Cash Withdrawal,Debit,321.02,POS
T000000058,C000231,CC0000714,2025-10-09,202510,4814,Telecom,Debit,148.18,POS
T000000059,C000248,CC0000137,2024-04-08,202404,4722,Travel Agencies,Debit,165.24,ATM
T000000060,C000809,CC0000855,2025-08-18,202508,4814,Telecom,Debit,89.82,Ecommerce
T000000061,C000497,CC0000439,2025-02-17,202502,5311,Department Stores,Debit,34.88,ATM
T000000062,C000464,CC0000168,2024-03-20,202403,5541,Fuel,Debit,22.16,POS
T000000063,C000218,CC0000852,2024-10-10,202410,4511,Airlines,Debit,271.15,Ecommerce
T000000064,C000981,CC0000879,2024-06-11,202406,5411,Groceries,Debit,57.35,ATM
T000000065,C000771,CC0000647,2024-07-07,202407,4900,Utilities,Debit,204.6,POS
T000000066,C000728,CC0001087,2025-03-26,202503,4511,Airlines,Debit,130.24,Ecommerce
T000000067,C000561,CC0000198,2024-10-21,202410,6011,Cash Withdrawal,Debit,135.55,POS
T000000068,C000472,CC0000671,2025-06-02,202506,5912,Pharmacy,Debit,77.7,POS
T000000069,C000563,CC0000415,2025-08-11,202508,5541,Fuel,Debit,34.15,Ecommerce
T000000070,C000092,CC0000108,2024-01-07,202401,4111,Transport,Debit,28.01,POS
T000000071,C000637,CC0000885,2025-08-24,202508,5411,Groceries,Debit,69.92,Ecommerce
T000000072,C000207,CC0001082,2024-04-14,202404,5411,Groceries,Debit,14.31,Ecommerce
T000000073,C000295,CC0000257,2024-01-05,202401,5999,Retail,Debit,74.67,POS
T000000074,C000047,CC0000299,2024-03-09,202403,5541,Fuel,Debit,37.61,ATM
T000000075,C000630,CC0000511,2024-02-07,202402,4511,Airlines,Debit,384.04,Ecommerce
T000000076,C000011,CC0000294,2024-09-06,202409,5411,Groceries,Debit,123.47,Ecommerce
T000000077,C000955,CC0000650,2025-09-04,202509,4722,Travel Agencies,Debit,57.1,POS
T000000078,C000641,CC0000765,2025-05-11,202505,4722,Travel Agencies,Debit,219.29,Ecommerce
T000000079,C000774,CC0000950,2024-11-18,202411,5541,Fuel,Debit,103.64,POS
T000000080,C000670,CC0001016,2025-11-19,202511,7011,Hotels,Debit,250.0,POS
T000000081,C000130,CC0000255,2024-12-21,202412,4511,Airlines,Debit,566.24,POS
T000000082,C000461,CC0000400,2024-03-06,202403,4814,Telecom,Debit,66.4,Ecommerce
T000000083,C000956,CC0000111,2024-01-15,202401,4722,Travel Agencies,Debit,390.73,POS
T000000084,C000058,CC0000372,2025-01-04,202501,4111,Transport,Debit,19.24,POS
T000000085,C000170,CC0000703,2024-06-13,202406,5812,Restaurants,Debit,27.21,POS
T000000086,C000354,CC0000708,2024-09-28,202409,7011,Hotels,Debit,557.43,POS
T000000087,C000218,CC0000079,2024-08-13,202408,4722,Travel Agencies,Debit,104.87,ATM
T000000088,C000544,CC0000145,2024-10-17,202410,5541,Fuel,Debit,138.8,Ecommerce
T000000089,C000902,CC0000862,2025-12-03,202512,5541,Fuel,Debit,30.36,POS
T000000090,C000167,CC0001031,2024-02-19,202402,5812,Restaurants,Debit,15.72,POS
T000000091,C000191,CC0000886,2024-03-20,202403,4111,Transport,Debit,46.23,POS
T000000092,C000470,CC0000639,2024-07-29,202407,4900,Utilities,Debit,19.27,Ecommerce
T000000093,C000477,CC0000872,2025-06-26,202506,5812,Restaurants,Debit,81.75,Ecommerce
T000000094,C000645,CC0000211,2024-07-03,202407,5541,Fuel,Debit,5.46,POS
T000000095,C000680,CC0000468,2024-06-30,202406,5691,Clothing,Debit,174.19,Ecommerce
T000000096,C000591,CC0000966,2025-06-08,202506,4900,Utilities,Debit,57.2,POS
T000000097,C000264,CC0001064,2025-03-15,202503,4814,Telecom,Debit,84.8,Ecommerce
T000000098,C000066,CC0000428,2025-04-13,202504,4900,Utilities,Debit,92.27,ATM
T000000099,C000050,CC0000760,2025-04-26,202504,4814,Telecom,Debit,61.85,Ecommerce
T000000100,C000985,CC0000853,2025-04-09,202504,7011,Hotels,Debit,226.41,Ecommerce
T000000101,C000351,CC0000163,2025-02-09,202502,5999,Retail,Debit,41.42,POS
T000000102,C000359,CC0000527,2025-01-14,202501,7011,Hotels,Debit,292.4,POS
T000000103,C000152,CC0000371,2025-07-13,202507,5691,Clothing,Debit,154.22,Ecommerce
T000000104,C000294,CC0000130,2024-09-06,202409,4111,Transport,Debit,40.29,Ecommerce
T000000105,C000813,CC0000416,2024-08-23,202408,5691,Clothing,Debit,99.9,Ecommerce
T000000106,C000113,CC0000854,2024-06-26,202406,4722,Travel Agencies,Debit,358.87,Ecommerce
T000000107,C000828,CC0000006,2025-08-29,202508,5912,Pharmacy,Debit,38.5,POS
T000000108,C000173,CC0000484,2024-01-09,202401,4511,Airlines,Debit,250.42,Ecommerce
T000000109,C000281,CC0000899,2024-06-01,202406,5691,Clothing,Refund,-51.17,POS
T000000110,C000501,CC0000278,2024-04-17,202404,5691,Clothing,Debit,46.86,ATM
T000000111,C000189,CC0000327,2024-09-29,202409,4722,Travel Agencies,Debit,101.65,POS
T000000112,C000776,CC0000286,2024-06-09,202406,5691,Clothing,Debit,54.49,ATM
T000000113,C000518,CC0000725,2025-01-03,202501,5411,Groceries,Debit,45.25,POS
T000000114,C000693,CC0000314,2025-12-13,202512,5311,Department Stores,Debit,126.64,POS
T000000115,C000257,CC0000625,2024-11-07,202411,4111,Transport,Debit,65.37,POS
T000000116,C000435,CC0000420,2025-12-09,202512,4111,Transport,Debit,33.43,POS
T000000117,C000835,CC0000976,2024-08-13,202408,7011,Hotels,Debit,510.41,POS
T000000118,C000883,CC0000555,2025-07-14,202507,7011,Hotels,Debit,236.9,POS
T000000119,C000647,CC0000771,2024-04-10,202404,5541,Fuel,Debit,46.37,POS
T000000120,C000519,CC0000390,2025-03-21,202503,4722,Travel Agencies,Debit,308.23,ATM
T000000121,C000714,CC0000679,2025-07-02,202507,7011,Hotels,Debit,293.14,POS
T000000122,C000055,CC0000195,2025-05-03,202505,5411,Groceries,Debit,97.06,POS
T000000123,C000845,CC0001046,2025-11-15,202511,4111,Transport,Debit,12.89,Ecommerce
T000000124,C000578,CC0000738,2025-03-14,202503,4814,Telecom,Debit,25.32,Ecommerce
T000000125,C000400,CC0000773,2025-03-04,202503,5812,Restaurants,Debit,36.14,POS
T000000126,C000714,CC0000679,2025-04-17,202504,5311,Department Stores,Debit,39.49,ATM
T000000127,C000522,CC0000173,2024-09-15,202409,4722,Travel Agencies,Debit,207.85,Ecommerce
T000000128,C000682,CC0000707,2024-06-09,202406,4722,Travel Agencies,Refund,-247.78,POS
T000000129,C000647,CC0000771,2025-10-22,202510,5912,Pharmacy,Debit,52.01,POS
T000000130,C000511,CC0000948,2025-12-13,202512,5411,Groceries,Debit,113.16,POS
T000000131,C000593,CC0000064,2025-11-10,202511,4111,Transport,Debit,40.1,POS
T000000132,C000426,CC0000030,2025-07-06,202507,4900,Utilities,Debit,113.2,ATM
T000000133,C000269,CC0001052,2024-06-12,202406,4722,Travel Agencies,Debit,259.01,POS
T000000134,C000059,CC0000559,2024-06-19,202406,4511,Airlines,Debit,242.82,POS
T000000135,C000608,CC0000849,2024-08-13,202408,4511,Airlines,Debit,389.89,ATM
T000000136,C000422,CC0000978,2025-01-09,202501,5691,Clothing,Debit,81.33,Ecommerce
T000000137,C000879,CC0000200,2024-06-21,202406,4511,Airlines,Debit,235.65,POS
T000000138,C000231,CC0000731,2025-07-30,202507,5999,Retail,Debit,30.63,POS
T000000139,C000707,CC0000452,2024-03-02,202403,5812,Restaurants,Debit,128.62,POS
T000000140,C000771,CC0000734,2025-10-27,202510,5999,Retail,Debit,60.04,ATM
T000000141,C000764,CC0000840,2024-11-26,202411,5999,Retail,Debit,60.47,Ecommerce
T000000142,C000205,CC0000790,2024-10-07,202410,5999,Retail,Debit,228.08,POS
T000000143,C000335,CC0000990,2024-11-24,202411,5691,Clothing,Debit,113.9,POS
T000000144,C000747,CC0001060,2024-12-19,202412,5812,Restaurants,Debit,48.64,POS
T000000145,C000998,CC0000700,2025-02-06,202502,5311,Department Stores,Debit,56.55,ATM
T000000146,C000913,CC0000954,2024-08-14,202408,5691,Clothing,Debit,28.06,POS
T000000147,C000124,CC0000642,2024-08-09,202408,5912,Pharmacy,Debit,20.62,POS
T000000148,C000776,CC0000286,2024-10-01,202410,5691,Clothing,Debit,48.62,POS
T000000149,C000643,CC0000276,2024-04-23,202404,4511,Airlines,Debit,300.65,POS
T000000150,C000770,CC0000863,2024-06-15,202406,5311,Department Stores,Debit,29.73,POS
T000000151,C000693,CC0000528,2024-11-01,202411,5411,Groceries,Debit,97.29,POS
T000000152,C000800,CC0000187,2024-01-22,202401,4511,Airlines,Debit,103.28,POS
T000000153,C000613,CC0000684,2024-11-02,202411,7011,Hotels,Debit,244.54,POS
T000000154,C000628,CC0000406,2024-10-30,202410,5311,Department Stores,Debit,91.47,POS
T000000155,C000839,CC0000470,2024-01-02,202401,5411,Groceries,Debit,182.03,POS
T000000156,C000183,CC0000503,2024-12-09,202412,5812,Restaurants,Debit,140.51,POS
T000000157,C000245,CC0000075,2025-04-28,202504,5812,Restaurants,Debit,120.95,POS
T000000158,C000790,CC0000754,2025-07-23,202507,4814,Telecom,Debit,61.65,POS
T000000159,C000305,CC0001053,2024-10-09,202410,5999,Retail,Debit,100.95,POS
T000000160,C000775,CC0000189,2025-01-16,202501,5311,Department Stores,Debit,46.07,POS
T000000161,C000770,CC0000863,2024-02-27,202402,4511,Airlines,Debit,364.15,POS
T000000162,C000307,CC0001066,2024-08-26,202408,4511,Airlines,Debit,55.58,POS
T000000163,C000776,CC0000286,2025-04-29,202504,5411,Groceries,Debit,71.95,Ecommerce
T000000164,C000931,CC0000795,2024-12-04,202412,4111,Transport,Debit,18.79,Ecommerce
T000000165,C000693,CC0000314,2025-11-27,202511,5541,Fuel,Debit,115.86,POS
T000000166,C000272,CC0000365,2025-08-04,202508,4722,Travel Agencies,Debit,267.71,POS
T000000167,C000871,CC0000843,2025-10-24,202510,4814,Telecom,Debit,149.39,POS
T000000168,C000885,CC0000989,2024-12-17,202412,6011,Cash Withdrawal,Debit,57.83,POS
T000000169,C000578,CC0000288,2024-02-25,202402,5912,Pharmacy,Debit,226.64,Ecommerce
T000000170,C000943,CC0000516,2025-02-09,202502,6011,Cash Withdrawal,Debit,87.22,POS
T000000171,C000456,CC0000810,2025-11-21,202511,5541,Fuel,Debit,114.78,POS
T000000172,C000464,CC0000575,2024-05-06,202405,4814,Telecom,Debit,27.1,POS
T000000173,C000645,CC0000719,2025-12-02,202512,4722,Travel Agencies,Debit,272.79,POS
T000000174,C000287,CC0000204,2024-01-06,202401,4814,Telecom,Debit,51.59,POS
T000000175,C000196,CC0000364,2025-03-24,202503,4814,Telecom,Debit,97.55,POS
T000000176,C000728,CC0001087,2025-11-09,202511,5912,Pharmacy,Debit,10.67,POS
T000000177,C000432,CC0000788,2024-06-03,202406,5411,Groceries,Debit,25.08,POS
T000000178,C000530,CC0000351,2024-07-14,202407,7011,Hotels,Debit,332.99,POS
T000000179,C000059,CC0000203,2025-08-12,202508,7011,Hotels,Debit,80.93,POS
T000000180,C000817,CC0000427,2024-09-10,202409,4900,Utilities,Debit,52.28,POS
T000000181,C000650,CC0000120,2025-04-23,202504,7011,Hotels,Debit,98.09,POS
T000000182,C000891,CC0000657,2024-03-24,202403,4814,Telecom,Debit,70.5,Ecommerce
T000000183,C000961,CC0000580,2025-05-05,202505,5999,Retail,Debit,29.4,POS
T000000184,C000320,CC0000218,2025-01-09,202501,5812,Restaurants,Debit,130.36,Ecommerce
T000000185,C000967,CC0000376,2024-12-31,202412,5411,Groceries,Debit,71.55,POS
T000000186,C000338,CC0000910,2025-06-22,202506,5691,Clothing,Debit,139.74,ATM
T000000187,C000602,CC0001063,2024-11-22,202411,5411,Groceries,Debit,96.94,Ecommerce
T000000188,C000191,CC0000886,2025-05-15,202505,6011,Cash Withdrawal,Debit,189.73,POS
T000000189,C000540,CC0000548,2024-11-06,202411,5311,Department Stores,Debit,3.76,POS
T000000190,C000509,CC0000090,2025-09-16,202509,5541,Fuel,Debit,86.83,Ecommerce
T000000191,C000523,CC0001067,2025-02-09,202502,7011,Hotels,Debit,233.1,POS
T000000192,C000175,CC0000072,2024-07-28,202407,4511,Airlines,Debit,505.99,POS
T000000193,C000961,CC0000580,2025-10-03,202510,5411,Groceries,Debit,64.43,POS
T000000194,C000275,CC0000673,2024-08-17,202408,5691,Clothing,Debit,1.46,POS
T000000195,C000768,CC0000677,2025-11-18,202511,4111,Transport,Debit,60.28,POS
T000000196,C000520,CC0000648,2025-12-05,202512,5999,Retail,Debit,90.33,Ecommerce
T000000197,C000049,CC0000607,2025-02-11,202502,4722,Travel Agencies,Debit,149.47,POS
T000000198,C000025,CC0000999,2024-11-29,202411,5999,Retail,Refund,-40.8,POS
T000000199,C000902,CC0000862,2024-07-12,202407,5541,Fuel,Debit,101.89,POS
T000000200,C000615,CC0000603,2025-09-01,202509,4814,Telecom,Debit,8.78,POS
T000000201,C000807,CC0000826,2024-07-15,202407,5999,Retail,Debit,59.3,POS
T000000202,C000733,CC0001070,2025-03-22,202503,4900,Utilities,Debit,43.16,POS
T000000203,C000653,CC0000602,2025-08-09,202508,4511,Airlines,Debit,85.55,POS
T000000204,C000339,CC0000974,2024-05-12,202405,4814,Telecom,Debit,69.75,POS
T000000205,C000995,CC0000355,2024-05-06,202405,4814,Telecom,Debit,150.28,POS
T000000206,C000826,CC0000589,2025-11-29,202511,4900,Utilities,Debit,28.34,POS
T000000207,C000256,CC0000572,2025-12-21,202512,6011,Cash Withdrawal,Debit,141.14,Ecommerce
T000000208,C000056,CC0000069,2024-08-24,202408,4111,Transport,Debit,78.17,POS
T000000209,C000852,CC0000261,2024-06-18,202406,5411,Groceries,Debit,20.91,Ecommerce
T000000210,C000684,CC0000829,2025-04-13,202504,5691,Clothing,Debit,77.63,POS
T000000211,C000656,CC0001008,2025-03-01,202503,5311,Department Stores,Debit,44.9,Ecommerce
T000000212,C000591,CC0000966,2024-07-04,202407,5812,Restaurants,Debit,34.51,Ecommerce
T000000213,C000045,CC0000332,2024-06-06,202406,4900,Utilities,Debit,33.89,POS
T000000214,C000251,CC0000002,2025-02-24,202502,4814,Telecom,Debit,237.78,POS
T000000215,C000306,CC0000699,2024-07-19,202407,4722,Travel Agencies,Debit,47.74,POS
T000000216,C000646,CC0000164,2025-01-30,202501,7011,Hotels,Debit,409.57,ATM
T000000217,C000162,CC0000949,2025-05-16,202505,7011,Hotels,Debit,160.27,POS
T000000218,C000029,CC0000662,2024-07-09,202407,5311,Department Stores,Debit,26.43,ATM
T000000219,C000090,CC0000876,2025-02-21,202502,4511,Airlines,Debit,192.88,Ecommerce
T000000220,C000502,CC0000052,2025-12-22,202512,4111,Transport,Debit,125.58,POS
T000000221,C000478,CC0000549,2025-01-27,202501,5541,Fuel,Debit,129.36,POS
T000000222,C000647,CC0000771,2024-04-12,202404,5999,Retail,Debit,25.72,Ecommerce
T000000223,C000054,CC0000626,2025-06-20,202506,5812,Restaurants,Debit,76.08,POS
T000000224,C000972,CC0000297,2024-11-19,202411,4900,Utilities,Debit,72.61,POS
T000000225,C000971,CC0000956,2025-06-07,202506,6011,Cash Withdrawal,Debit,131.34,Ecommerce
T000000226,C000055,CC0000720,2024-01-23,202401,7011,Hotels,Debit,317.35,POS
T000000227,C000121,CC0000080,2025-06-03,202506,5541,Fuel,Debit,95.47,POS
T000000228,C000617,CC0000098,2025-05-13,202505,5411,Groceries,Debit,24.52,POS
T000000229,C000327,CC0000362,2024-01-03,202401,4814,Telecom,Debit,11.56,POS
T000000230,C000383,CC0000844,2024-12-03,202412,4900,Utilities,Debit,20.84,POS
T000000231,C000252,CC0000287,2024-12-09,202412,5999,Retail,Debit,41.3,POS
T000000232,C000166,CC0000074,2025-02-12,202502,4722,Travel Agencies,Debit,222.8,POS
T000000233,C000069,CC0000828,2025-03-25,202503,7011,Hotels,Debit,378.29,POS
T000000234,C000735,CC0000608,2025-05-24,202505,7011,Hotels,Debit,145.79,Ecommerce
T000000235,C000749,CC0000873,2025-10-28,202510,5912,Pharmacy,Debit,41.36,Ecommerce
T000000236,C000424,CC0000600,2025-07-11,202507,7011,Hotels,Debit,30.6,ATM
T000000237,C000034,CC0000833,2024-08-14,202408,5912,Pharmacy,Debit,122.82,POS
T000000238,C000980,CC0000273,2025-12-06,202512,5541,Fuel,Debit,25.67,POS
T000000239,C000857,CC0000571,2024-12-15,202412,5999,Retail,Debit,129.75,POS
T000000240,C000820,CC0000463,2025-09-22,202509,5541,Fuel,Debit,38.11,Ecommerce
T000000241,C000464,CC0000575,2024-12-20,202412,4900,Utilities,Debit,22.08,ATM
T000000242,C000475,CC0000357,2024-08-24,202408,5411,Groceries,Debit,57.43,POS
T000000243,C000828,CC0000006,2025-06-11,202506,4900,Utilities,Debit,29.04,POS
T000000244,C000409,CC0001073,2025-06-14,202506,5912,Pharmacy,Debit,45.49,POS
T000000245,C000302,CC0000689,2024-03-29,202403,4900,Utilities,Debit,56.11,Ecommerce
T000000246,C000390,CC0001078,2024-02-25,202402,5999,Retail,Debit,94.62,Ecommerce
T000000247,C000092,CC0000108,2025-07-07,202507,4900,Utilities,Debit,176.68,POS
T000000248,C000381,CC0000627,2024-04-09,202404,6011,Cash Withdrawal,Debit,72.5,POS
T000000249,C000497,CC0000709,2024-12-01,202412,5691,Clothing,Debit,61.23,POS
T000000250,C000260,CC0000290,2024-12-01,202412,5812,Restaurants,Debit,17.77,POS
T000000251,C000464,CC0000168,2024-11-16,202411,5691,Clothing,Debit,84.21,POS
T000000252,C000636,CC0000341,2024-12-01,202412,6011,Cash Withdrawal,Debit,195.08,Ecommerce
T000000253,C000910,CC0000469,2025-11-25,202511,4111,Transport,Debit,10.79,Ecommerce
T000000254,C000603,CC0000736,2025-01-04,202501,5541,Fuel,Debit,67.37,POS
T000000255,C000196,CC0000364,2025-09-25,202509,5812,Restaurants,Debit,28.08,POS
T000000256,C000887,CC0000536,2024-12-12,202412,5541,Fuel,Debit,44.95,Ecommerce
T000000257,C000513,CC0000494,2024-12-10,202412,5541,Fuel,Debit,149.55,POS
T000000258,C000173,CC0000484,2025-04-13,202504,4111,Transport,Debit,12.74,ATM
T000000259,C000764,CC0000457,2024-06-19,202406,5912,Pharmacy,Refund,-89.36,POS
T000000260,C000770,CC0000863,2025-11-27,202511,4111,Transport,Debit,24.58,Ecommerce
T000000261,C000813,CC0000416,2025-11-11,202511,5812,Restaurants,Debit,20.76,POS
T000000262,C000012,CC0000623,2024-05-06,202405,4814,Telecom,Debit,33.34,POS
T000000263,C000913,CC0000954,2024-04-17,202404,5311,Department Stores,Debit,19.07,POS
T000000264,C000913,CC0000954,2024-09-17,202409,5411,Groceries,Debit,204.61,POS
T000000265,C000788,CC0000767,2024-05-18,202405,7011,Hotels,Debit,56.06,Ecommerce
T000000266,C000426,CC0000374,2024-02-24,202402,4722,Travel Agencies,Debit,80.55,ATM
T000000267,C000790,CC0000251,2025-08-13,202508,4814,Telecom,Debit,8.29,POS
T000000268,C000424,CC0000600,2024-05-25,202405,5912,Pharmacy,Debit,27.41,POS
T000000269,C000298,CC0000797,2024-09-26,202409,7011,Hotels,Debit,285.78,POS
T000000270,C000320,CC0000861,2025-12-21,202512,6011,Cash Withdrawal,Debit,144.29,POS
T000000271,C000511,CC0000948,2024-10-18,202410,5691,Clothing,Debit,69.0,POS
T000000272,C000257,CC0000625,2024-01-29,202401,4900,Utilities,Debit,72.34,Ecommerce
T000000273,C000522,CC0000231,2024-06-26,202406,5311,Department Stores,Debit,107.46,POS
T000000274,C000007,CC0000193,2024-06-04,202406,5311,Department Stores,Debit,151.56,POS
T000000275,C000475,CC0000357,2025-02-09,202502,6011,Cash Withdrawal,Debit,241.03,Ecommerce
T000000276,C000941,CC0000923,2024-11-07,202411,4111,Transport,Debit,56.45,Ecommerce
T000000277,C000556,CC0000504,2024-02-26,202402,4900,Utilities,Debit,25.19,POS
T000000278,C000561,CC0000198,2024-08-01,202408,4511,Airlines,Debit,180.96,ATM
T000000279,C000195,CC0000037,2024-12-07,202412,5812,Restaurants,Debit,81.48,Ecommerce
T000000280,C000329,CC0000181,2025-02-02,202502,5999,Retail,Debit,43.65,Ecommerce
T000000281,C000758,CC0000481,2024-10-31,202410,5411,Groceries,Debit,93.95,POS
T000000282,C000096,CC0000717,2025-12-24,202512,5812,Restaurants,Debit,71.38,POS
T000000283,C000390,CC0001078,2024-12-24,202412,4814,Telecom,Debit,29.36,Ecommerce
T000000284,C000054,CC0000378,2025-05-28,202505,4814,Telecom,Debit,33.61,POS
T000000285,C000855,CC0000171,2025-02-21,202502,5812,Restaurants,Debit,119.19,POS
T000000286,C000398,CC0000215,2024-10-23,202410,5691,Clothing,Debit,8.15,POS
T000000287,C000342,CC0000620,2024-01-21,202401,5541,Fuel,Debit,10.06,POS
T000000288,C000069,CC0000828,2025-05-13,202505,5812,Restaurants,Debit,21.56,POS
T000000289,C000714,CC0000874,2025-09-19,202509,5311,Department Stores,Debit,213.7,POS
T000000290,C000424,CC0000600,2025-09-28,202509,5812,Restaurants,Debit,73.26,POS
T000000291,C000737,CC0000656,2025-08-02,202508,4722,Travel Agencies,Debit,83.2,ATM
T000000292,C000602,CC0000537,2024-06-16,202406,4111,Transport,Debit,74.08,POS
T000000293,C000504,CC0000919,2024-11-25,202411,5311,Department Stores,Debit,30.97,POS
T000000294,C000285,CC0000248,2025-06-07,202506,5541,Fuel,Debit,56.15,POS
T000000295,C000119,CC0000349,2025-06-18,202506,5691,Clothing,Debit,36.52,POS
T000000296,C000522,CC0000267,2025-03-24,202503,4111,Transport,Debit,72.2,POS
T000000297,C000936,CC0000169,2024-02-05,202402,5912,Pharmacy,Debit,46.85,POS
T000000298,C000422,CC0000978,2025-06-19,202506,4511,Airlines,Debit,105.2,Ecommerce
T000000299,C000223,CC0000049,2025-02-16,202502,5812,Restaurants,Debit,56.03,POS
T000000300,C000836,CC0000121,2024-03-02,202403,5999,Retail,Debit,40.03,Ecommerce
T000000301,C000979,CC0000932,2025-01-28,202501,5691,Clothing,Debit,40.0,Ecommerce
T000000302,C000063,CC0000593,2025-06-19,202506,5311,Department Stores,Debit,14.64,POS
T000000303,C000034,CC0000833,2025-11-13,202511,5912,Pharmacy,Debit,70.92,POS
