loan_id,customer_id,loan_type,open_date,original_principal_eur,current_balance_eur,monthly_installment_eur,days_past_due,loan_status
L0000118,C000112,Auto,2018-06-16,21712.85,20046.95,86.56,30,Closed
L0000119,C000326,Consumer,2016-02-20,4591.86,671.47,64.48,0,Active
L0000120,C000024,Consumer,2020-12-02,6559.98,1133.29,32.53,0,Default
L0000121,C000717,Mortgage,2016-02-17,89995.96,56682.49,403.89,90,Active
L0000122,C000016,Auto,2017-09-21,21153.6,10849.03,123.77,0,Active
L0000123,C000049,Mortgage,2023-02-21,129851.06,37399.76,477.9,0,Active
L0000124,C000159,Consumer,2016-04-21,17161.85,5557.77,70.15,0,Active
L0000125,C000327,SME,2022-01-05,31953.25,6113.33,234.59,5,Active
L0000126,C000020,Consumer,2020-12-09,7122.64,5918.82,147.19,0,Active
L0000127,C000630,Consumer,2018-06-12,14619.56,8224.48,115.68,0,Active
L0000128,C000133,SME,2018-04-14,35033.33,9471.3,144.13,0,Active
L0000129,C000804,Mortgage,2019-10-18,92842.32,37515.6,1459.77,0,Active
L0000130,C000560,Mortgage,2020-04-05,36445.58,31562.48,147.99,0,Active
L0000131,C000084,Consumer,2023-02-12,13454.23,11411.3,282.67,0,Closed
L0000132,C000401,Auto,2018-02-01,28789.03,3230.02,168.42,30,Active
L0000133,C000141,Auto,2020-09-19,10794.98,6894.65,54.35,0,Closed
L0000134,C000981,Auto,2021-06-27,25151.93,4720.36,431.63,5,Active
L0000135,C000593,SME,2016-02-06,53515.04,12832.64,463.48,15,Active
L0000136,C000809,Mortgage,2023-02-28,40556.34,33572.01,860.82,30,Active
L0000137,C000375,Consumer,2023-12-06,7526.37,6440.1,76.67,0,Active
L0000138,C000147,Mortgage,2016-09-09,76958.97,9575.44,329.1,0,Active
L0000139,C000235,SME,2018-02-03,47086.81,39389.57,2650.23,5,Active
L0000140,C000417,SME,2022-04-15,65487.86,46211.13,283.11,0,Active
L0000141,C000771,Consumer,2022-06-20,21244.61,15893.93,114.2,0,Active
L0000142,C000431,Auto,2017-03-31,7981.98,6087.33,43.39,0,Active
L0000143,C000929,Consumer,2023-05-02,9576.11,4850.4,116.26,0,Active
L0000144,C000363,Mortgage,2018-08-19,79680.86,71889.42,341.2,0,Active
L0000145,C000234,Consumer,2018-05-07,5660.1,1303.66,76.36,0,Active
L0000146,C000496,SME,2018-11-09,57386.19,28949.53,438.58,0,Default
L0000147,C000112,Consumer,2021-05-14,12007.4,4042.86,919.1,0,Active
L0000148,C000670,Mortgage,2017-08-25,38378.89,30326.55,160.9,0,Active
L0000149,C000101,SME,2020-05-04,55453.76,6900.15,271.53,5,Active
L0000150,C000641,Consumer,2016-08-07,5973.02,2629.98,108.79,0,Active
L0000151,C000383,Consumer,2017-03-05,12059.14,8997.68,71.92,0,Active
L0000152,C000358,Auto,2022-02-21,26886.48,8902.3,517.95,0,Active
L0000153,C000611,Consumer,2019-01-25,14315.34,3814.02,108.3,5,Active
L0000154,C000706,Consumer,2022-05-06,12887.59,3689.64,100.23,0,Active
L0000155,C000929,Mortgage,2021-11-24,96205.54,66596.47,422.78,0,Active
L0000156,C000290,Auto,2023-12-20,18468.07,5690.09,218.06,0,Active
L0000157,C000812,Consumer,2017-02-05,14816.27,6110.46,1861.01,30,Active
L0000158,C000836,Auto,2023-06-22,21249.16,11497.95,198.59,0,Closed
L0000159,C000996,Auto,2023-02-17,17305.47,15517.54,75.47,0,Active
L0000160,C000965,Mortgage,2019-06-23,129781.93,99271.86,530.63,0,Active
L0000161,C000791,Auto,2017-01-30,8784.07,1903.98,475.23,0,Active
L0000162,C000295,Auto,2017-01-24,12859.64,10863.51,682.57,0,Active
L0000163,C000695,SME,2020-01-31,72688.99,58899.21,390.87,0,Active
L0000164,C000785,Mortgage,2016-02-01,157891.48,113792.72,857.2,0,Active
L0000165,C000292,Consumer,2016-10-06,12467.99,6423.7,84.42,0,Active
L0000166,C000814,Consumer,2020-04-01,19394.83,2188.39,655.67,0,Active
L0000167,C000702,SME,2020-07-02,67700.49,46737.35,737.1,15,Active
L0000168,C000491,SME,2022-11-17,49171.81,25397.63,199.2,0,Active
L0000169,C000862,Consumer,2023-10-16,5901.24,1940.31,148.27,0,Active
L0000170,C000088,Consumer,2018-02-21,19193.67,1131.36,356.98,0,Active
L0000171,C000684,Mortgage,2018-08-22,154664.29,39894.74,1065.51,0,Active
L0000172,C000787,Auto,2017-08-03,30588.18,18203.67,139.49,15,Active
L0000173,C000041,Auto,2017-10-17,33167.93,5010.88,153.44,0,Active
L0000174,C000408,Auto,2019-07-05,8991.42,5753.4,51.71,30,Active
L0000175,C000518,Consumer,2023-12-09,5578.33,4394.08,36.91,0,Active
L0000176,C000209,SME,2023-02-22,1000.0,336.36,8.19,0,Closed
L0000177,C000880,Mortgage,2023-04-20,161326.3,19970.1,10229.55,0,Active
L0000178,C000627,Consumer,2019-08-11,15282.41,2685.56,205.3,0,Active
L0000179,C000276,Consumer,2021-04-03,12488.9,4647.34,218.57,15,Active
L0000180,C000437,Consumer,2021-10-11,5869.33,4590.35,278.65,0,Active
L0000181,C000113,Auto,2017-12-10,17376.76,10788.38,76.54,0,Active
L0000182,C000088,Consumer,2019-09-12,12923.53,10740.73,141.06,0,Default
L0000183,C000747,Mortgage,2020-05-25,155222.66,146682.99,1248.25,0,Closed
L0000184,C000984,Mortgage,2018-12-25,132284.41,30730.94,2187.07,0,Active
L0000185,C000277,Consumer,2019-10-13,15319.01,10345.53,103.52,0,Active
L0000186,C000245,Auto,2019-07-11,17131.08,8049.3,448.74,0,Active
L0000187,C000684,Consumer,2016-06-27,17907.41,8848.59,106.87,0,Closed
L0000188,C000511,Consumer,2022-02-21,15158.65,5199.77,73.23,0,Active
L0000189,C000140,Mortgage,2023-03-14,66588.01,23855.89,673.01,0,Active
L0000190,C000668,Auto,2022-01-11,27724.54,18260.87,401.8,60,Active
L0000191,C000210,Consumer,2023-06-19,18127.86,11034.84,90.94,0,Active
L0000192,C000116,Consumer,2019-06-14,14327.37,4823.36,243.97,0,Active
L0000193,C000465,Consumer,2016-06-12,13403.59,2100.65,251.23,90,Active
L0000194,C000740,Consumer,2018-02-20,20293.06,11575.51,185.29,0,Active
L0000195,C000522,Consumer,2022-10-29,3833.44,2742.66,12.82,0,Active
L0000196,C000649,Mortgage,2017-02-10,175855.1,97205.6,1398.89,0,Active
L0000197,C000238,Auto,2020-05-16,14666.55,781.52,216.57,0,Active
L0000198,C000494,Consumer,2016-01-04,17475.89,5314.14,119.09,60,Active
L0000199,C000713,Consumer,2018-08-03,12601.88,9460.5,133.62,0,Active
L0000200,C000529,SME,2016-11-26,23926.85,17186.5,132.44,0,Active
L0000201,C000240,Consumer,2016-11-27,9517.4,565.04,85.79,0,Closed
L0000202,C000955,Consumer,2017-04-25,17108.65,8096.95,114.67,0,Active
L0000203,C000068,Consumer,2020-04-20,10948.96,4856.81,82.51,30,Active
L0000204,C000911,Consumer,2021-07-07,8892.57,5665.04,69.77,0,Active
L0000205,C000725,Mortgage,2018-04-21,91732.26,14904.84,806.34,0,Closed
L0000206,C000112,Auto,2022-07-16,22495.73,13706.06,228.5,0,Active
L0000207,C000256,Consumer,2019-02-18,20753.18,18724.06,80.93,0,Active
L0000208,C000369,Auto,2021-11-21,3013.82,1159.04,35.98,0,Active
L0000209,C000958,SME,2020-03-26,125017.11,44208.65,577.28,0,Active
L0000210,C000517,Mortgage,2021-10-12,129168.58,9745.27,693.98,0,Closed
L0000211,C000259,Auto,2023-10-28,22061.57,2242.68,141.38,60,Active
L0000212,C000920,Mortgage,2023-12-13,100368.22,89168.65,1259.06,15,Active
L0000213,C000119,Consumer,2020-09-10,11982.42,11119.11,82.48,0,Active
L0000214,C000817,Auto,2023-09-11,19347.59,1065.62,92.82,15,Active
L0000215,C000831,Mortgage,2021-08-10,72790.68,62644.51,1329.42,0,Default
L0000216,C000387,SME,2018-02-24,34857.96,7200.4,186.07,0,Active
L0000217,C000044,Consumer,2023-06-24,17922.84,9951.17,86.73,0,Active
L0000218,C000887,Consumer,2017-02-27,4238.27,2798.64,25.13,5,Active
L0000219,C000968,Mortgage,2019-09-29,139846.76,52184.22,3527.66,0,Active
L0000220,C000379,Consumer,2017-03-23,10147.42,5338.45,72.81,0,Active
L0000221,C000186,Consumer,2022-04-09,7196.46,4424.3,119.32,0,Active
L0000222,C000272,Mortgage,2023-02-28,208736.93,46868.47,922.08,0,Active
L0000223,C000137,Consumer,2022-07-18,7227.49,6828.75,74.24,0,Active
L0000224,C000610,Mortgage,2016-10-25,69145.41,16145.01,552.87,0,Active
L0000225,C000519,SME,2018-03-01,50325.68,2984.55,237.91,5,Active
L0000226,C000356,Consumer,2018-09-20,8157.21,7340.31,61.41,0,Closed
L0000227,C000651,Consumer,2016-12-03,12031.9,5248.5,187.02,0,Active
L0000228,C000623,Auto,2020-03-28,19087.8,7802.28,79.09,5,Active
L0000229,C000012,Auto,2016-04-09,19642.61,5855.54,113.99,0,Active
L0000230,C000410,Auto,2020-11-26,17132.76,1254.95,103.29,0,Active
L0000231,C000864,SME,2020-08-05,37445.96,10788.61,1643.21,0,Active
L0000232,C000796,Mortgage,2020-10-05,148953.14,60172.64,1110.51,0,Active
L0000233,C000855,Consumer,2023-04-19,11441.54,5930.11,101.19,0,Active
L0000234,C000955,Auto,2022-04-15,14530.68,6711.43,167.33,0,Active
L0000235,C000062,Mortgage,2018-01-28,186599.72,156955.1,1075.47,5,Active
L0000236,C000271,Auto,2020-07-27,17150.82,14924.59,221.14,5,Active
L0000237,C000460,Mortgage,2022-06-01,169139.4,56736.02,1143.89,0,Active
L0000238,C000511,SME,2022-10-21,85670.96,78268.92,384.44,0,Active
L0000239,C000787,Auto,2021-02-21,27013.71,22379.26,147.19,0,Active
L0000240,C000725,Consumer,2016-09-04,15455.79,13676.38,210.1,0,Active
L0000241,C000707,Consumer,2019-06-23,11996.83,8226.2,210.11,0,Active
L0000242,C000159,SME,2022-11-13,53398.96,12198.71,7263.96,0,Active
L0000243,C000678,Auto,2016-08-03,16291.16,3677.0,184.18,0,Active
L0000244,C000796,Auto,2020-09-18,2831.73,2457.34,275.18,0,Default
L0000245,C000753,Auto,2020-04-27,23031.65,11661.87,626.4,0,Active
L0000246,C000583,Mortgage,2017-10-12,131000.95,111536.9,522.25,0,Active
L0000247,C000089,Mortgage,2018-10-01,157148.59,109767.21,613.46,0,Active
L0000248,C000150,Mortgage,2023-10-26,114734.93,27681.07,745.52,0,Active
L0000249,C000744,Consumer,2020-10-05,15324.13,6072.7,80.75,5,Closed
L0000250,C000869,Consumer,2023-07-07,5112.46,4708.8,35.3,0,Active
L0000251,C000826,Consumer,2019-10-08,6153.67,416.14,39.37,0,Active
L0000252,C000427,SME,2022-10-05,1000.0,693.13,4.5,0,Closed
L0000253,C000588,Mortgage,2020-12-14,113954.29,106080.24,4158.11,0,Closed
L0000254,C000177,Auto,2023-04-15,12592.32,1809.92,123.18,0,Default
L0000255,C000592,Consumer,2018-08-12,7483.09,2205.97,203.12,0,Active
L0000256,C000196,Consumer,2019-01-20,13673.26,7415.17,68.24,0,Active
L0000257,C000796,Mortgage,2016-04-28,100852.18,81628.59,441.7,0,Active
L0000258,C000786,Auto,2017-10-27,7968.36,4030.88,40.06,0,Active
L0000259,C000052,Auto,2017-02-08,35813.37,3711.57,196.82,30,Active
L0000260,C000936,Consumer,2017-06-18,11814.95,1943.16,100.87,0,Active
L0000261,C000797,Consumer,2018-06-19,6584.18,2556.96,668.13,0,Active
L0000262,C000379,Consumer,2022-12-26,8650.82,2943.76,41.96,0,Active
L0000263,C000452,Consumer,2019-01-10,11134.29,2758.08,51.44,0,Active
L0000264,C000079,Consumer,2022-08-10,11123.77,8967.05,44.5,90,Active
L0000265,C000937,Consumer,2022-07-06,18510.82,1373.38,216.15,0,Closed
L0000266,C000101,Auto,2023-11-04,17443.99,13892.57,272.14,0,Active
L0000267,C000923,Auto,2020-01-25,30986.46,27252.97,159.26,0,Active
L0000268,C000655,Mortgage,2022-10-12,100540.97,62043.82,11110.28,0,Active
L0000269,C000919,Auto,2019-05-09,20985.05,12859.96,981.7,0,Active
L0000270,C000371,Consumer,2021-01-20,17109.9,3150.21,73.52,0,Active
L0000271,C000896,SME,2022-06-25,84878.81,47658.26,347.88,0,Closed
L0000272,C000427,Consumer,2017-02-19,18559.36,7194.67,170.49,0,Active
L0000273,C000351,Mortgage,2016-06-16,107759.47,27602.03,732.22,0,Active
L0000274,C000338,Auto,2017-04-26,17961.58,10327.84,115.71,0,Active
L0000275,C000952,Mortgage,2021-10-06,8425.98,430.33,196.46,0,Active
L0000276,C000466,Auto,2019-10-15,16627.93,4967.95,231.36,0,Active
L0000277,C000479,SME,2018-03-28,82281.35,52696.09,901.44,0,Active
L0000278,C000644,Auto,2022-02-19,24277.86,11156.56,106.64,0,Active
L0000279,C000556,Consumer,2016-02-14,11567.56,2094.61,102.26,0,Active
L0000280,C000542,Consumer,2017-05-20,20495.7,1049.1,101.14,0,Active
L0000281,C000380,Consumer,2019-10-03,10079.97,2957.42,170.4,30,Active
L0000282,C000165,Mortgage,2023-04-27,87773.71,47762.36,351.45,0,Active
L0000283,C000995,SME,2021-12-27,43295.96,22994.09,162.92,0,Active
L0000284,C000492,Consumer,2021-06-19,6387.67,1072.9,46.88,0,Active
L0000285,C000973,Consumer,2021-09-06,15111.98,9102.36,212.5,0,Active
L0000286,C000461,Mortgage,2018-06-30,132981.68,126203.86,519.9,0,Active
L0000287,C000600,SME,2019-07-31,70249.49,40490.41,284.38,0,Active
L0000288,C000546,SME,2023-01-30,44640.72,23430.77,310.3,0,Active
L0000289,C000966,Consumer,2021-10-31,11709.64,7147.21,157.36,60,Closed
L0000290,C000111,Consumer,2020-10-14,1107.91,932.53,7.07,30,Active
L0000291,C000518,Auto,2016-08-30,20633.58,18599.1,211.29,0,Active
L0000292,C000154,Consumer,2021-11-10,12494.21,1086.12,75.51,0,Active
L0000293,C000869,SME,2018-12-03,27486.81,6445.5,126.88,0,Active
L0000294,C000531,SME,2019-01-30,52383.56,8076.9,370.82,15,Active
L0000295,C000924,Auto,2021-05-21,16195.05,12067.23,825.56,0,Active
L0000296,C000276,Mortgage,2019-02-23,199394.04,18146.17,1127.54,0,Active
L0000297,C000163,Auto,2020-07-30,10572.11,9117.09,42.34,0,Active
L0000298,C000630,SME,2016-02-06,63285.65,4335.06,883.37,0,Active
L0000299,C000146,Consumer,2017-06-24,6546.16,3877.24,24.11,0,Active
L0000300,C000373,Auto,2020-04-19,14094.89,4200.54,146.08,5,Active
L0000301,C000314,Consumer,2023-08-28,13384.09,6337.46,74.85,0,Active
L0000302,C000221,SME,2022-01-30,49715.93,22257.69,245.17,5,Active
L0000303,C000131,Consumer,2019-05-04,11970.05,8666.36,223.69,0,Default
L0000304,C000657,Mortgage,2023-09-29,134972.49,67078.35,8058.9,0,Active
L0000305,C000759,Consumer,2018-03-15,9531.55,4089.98,36.95,0,Active
L0000306,C000394,Mortgage,2023-02-18,159786.59,113008.97,835.3,0,Closed
L0000307,C000282,Consumer,2019-03-24,10472.6,9249.68,57.04,0,Active
L0000308,C000158,SME,2016-09-11,52561.11,40184.56,568.68,0,Active
L0000309,C000678,Mortgage,2016-01-08,136259.01,97158.85,4580.78,0,Active
L0000310,C000809,SME,2023-11-03,60675.01,29667.04,793.16,5,Active
L0000311,C000549,Mortgage,2021-02-18,148990.26,128160.56,997.99,0,Active
L0000312,C000432,Consumer,2017-03-12,13584.82,6625.07,61.9,0,Closed
L0000313,C000649,SME,2023-12-06,66725.77,59202.92,677.07,0,Active
L0000314,C000916,Consumer,2016-04-30,10373.14,8014.6,158.9,0,Active
L0000315,C000990,Auto,2018-09-04,10518.6,1948.41,165.07,15,Active
L0000316,C000194,SME,2021-12-26,19309.03,1782.09,67.22,0,Active
L0000317,C000477,Consumer,2016-06-04,3646.45,2613.67,19.87,0,Closed
L0000318,C000877,Auto,2023-03-30,30339.09,20243.91,127.39,5,Closed
L0000319,C000633,Mortgage,2021-06-02,20425.2,12089.27,3193.14,0,Active
L0000320,C000816,Consumer,2023-08-05,17968.62,16685.93,134.19,90,Active
L0000321,C000996,Consumer,2022-09-10,7895.65,4270.47,64.31,0,Active
L0000322,C000104,Auto,2022-08-05,26305.09,9551.64,233.12,0,Closed
L0000323,C000613,Auto,2017-10-26,2582.22,1442.09,26.4,0,Active
L0000324,C000532,Consumer,2017-08-21,10824.53,818.02,363.91,0,Active
L0000325,C000285,SME,2017-12-08,91350.61,52192.06,7229.88,0,Active
L0000326,C000654,Mortgage,2017-03-25,152094.43,131133.87,671.9,0,Closed
L0000327,C000104,SME,2021-04-23,46568.36,2509.9,411.18,0,Active
L0000328,C000496,Mortgage,2016-06-21,32566.02,26403.66,740.0,15,Closed
L0000329,C000415,Consumer,2019-06-05,5387.56,4157.77,60.1,0,Active
L0000330,C000391,Consumer,2020-08-26,18945.74,2756.47,81.87,0,Active
L0000331,C000615,Consumer,2020-04-22,10258.79,8331.65,83.61,0,Active
L0000332,C000944,Auto,2019-11-23,17497.23,12898.8,58.48,0,Active
L0000333,C000948,Auto,2017-10-13,19984.75,9831.33,364.09,5,Active
L0000334,C000701,Auto,2016-11-15,8880.13,2403.78,227.9,0,Active
L0000335,C000332,Mortgage,2023-11-25,138328.06,42783.54,888.63,15,Default
L0000336,C000966,Mortgage,2019-09-19,101117.3,60776.3,510.88,0,Closed
L0000337,C000999,Mortgage,2020-10-03,133216.63,36191.44,531.35,5,Active
L0000338,C000847,Consumer,2020-07-14,9109.75,3123.0,74.33,0,Active
L0000339,C000874,Mortgage,2018-12-13,49209.78,43686.21,954.65,0,Active
L0000340,C000818,Consumer,2021-10-12,9863.14,6967.28,63.97,0,Active
L0000341,C000761,Auto,2019-01-03,22485.44,16020.13,277.72,0,Active
L0000342,C000726,SME,2019-04-24,64851.5,59037.1,1310.85,0,Active
L0000343,C000639,Auto,2022-06-04,18216.52,1005.82,732.55,0,Active
L0000344,C000647,Mortgage,2018-07-18,160415.93,43318.28,869.84,0,Active
L0000345,C000390,Consumer,2021-08-04,10982.03,7052.4,58.59,0,Active
L0000346,C000887,Mortgage,2021-04-27,122532.43,54458.85,2166.06,0,Active
L0000347,C000635,Consumer,2016-03-30,9601.17,1454.81,70.06,0,Closed
